level,code,terrain,game_mode,player_powers,enemy_powers,speed,strategic_side,outcome,ticks,seconds,blue_population,red_population,blue_living_population,red_living_population,blue_mana,red_mana,blue_castles,red_castles,blue_peak_castles,red_peak_castles,blue_towns,red_towns,blue_action_markers,red_action_markers,blue_alive_slots,red_alive_slots,dead_slots,ruins,slots,war_tick,first_offense_tick,last_offense_tick,both_quakes,both_volcanoes,both_floods,both_knights,both_wars,blue_initial_population,red_initial_population,blue_initial_mana,red_initial_mana,state_hash,blue_exact_quakes,red_exact_quakes,blue_exact_swamps,red_exact_swamps,blue_exact_knights,red_exact_knights,blue_exact_volcanoes,red_exact_volcanoes,blue_exact_floods,red_exact_floods,blue_exact_wars,red_exact_wars,blue_unclassified_power_score,red_unclassified_power_score,blue_actual_towns,red_actual_towns,blue_actual_castles,red_actual_castles,blue_actual_knights,red_actual_knights,blue_actual_battles_won,red_actual_battles_won,blue_peak_actual_population,red_peak_actual_population,blue_peak_actual_towns,red_peak_actual_towns,blue_peak_actual_castles,red_peak_actual_castles,blue_peak_actual_knights,red_peak_actual_knights,blue_peak_actual_battles_won,red_peak_actual_battles_won
443,MINDIMAR,0,16,63,63,1,0,loss,3797,474.625,0,37533,0,37533,-250,9236,0,29,2,29,0,7,0,0,0,50,9,0,59,0,433,3681,16,8,0,5,0,45,135,399,2700,6d0a04be3f85927a9bb2d56bffcca9e961f143306a81fe3b14de3572fa81237c,0,16,0,1,0,5,0,8,0,0,0,0,0,0,0,7,0,29,0,2,0,57,6560,37593,28,10,2,29,0,4,0,57
443,MINDIMAR,0,16,63,63,1,1,win,5068,633.500,0,46553,0,46553,258,2365,0,0,20,34,0,0,0,0,0,14,111,0,125,4883,1561,4883,14,5,0,5,1,45,135,399,2700,170f7920ee6c03b7f3a1cb6dcd9800ee9cd8b9121f3307ef7a6d29e6344b0859,12,2,2,0,2,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,65,31,12516,50772,13,60,20,34,2,1,65,31
444,HAMKOPLUG,0,16,63,63,1,0,loss,6089,761.125,0,70684,0,70684,-250,3320,0,52,15,52,0,4,0,0,0,75,30,0,105,0,737,6073,32,26,0,9,0,45,135,399,2700,360d00d58eff643ad7cba7363ed911bb810923c3bc21f44071679d16c381589f,6,26,0,3,0,9,0,26,0,0,0,0,0,0,0,4,0,52,0,3,4,182,13179,70696,55,11,15,52,0,4,4,182
444,HAMKOPLUG,0,16,63,63,1,1,loss,5270,658.750,36868,2,36868,0,7770,-250,32,0,32,9,2,0,0,0,45,0,29,2,76,0,1937,5185,20,15,0,6,0,45,135,399,2700,da543e0b3332e52df562cdd5eff61c38306a1946ceaa5f4b98f0ac49bbe822a8,16,4,2,0,6,0,15,0,0,0,0,0,0,0,2,0,32,0,2,0,135,1,36908,17696,19,39,32,9,4,0,135,1
445,FUTQAZHILL,3,16,63,5,10,0,win,4867,608.375,32470,0,32470,0,24438,163,7,0,7,1,65,0,475,551,100,0,19,0,119,0,491,4141,14,0,0,1,0,45,585,399,2700,b77c7350e72b3646ab08829e74f5684b33767ced7f0841048c15ab3fcc72a8e6,9,5,0,0,1,0,0,0,0,0,0,0,0,0,65,0,7,0,1,0,62,73,32536,11864,65,32,7,1,1,0,62,73
445,FUTQAZHILL,3,16,63,5,10,1,win,3247,405.875,0,34682,0,34682,-168,6200,0,0,2,0,0,97,361,292,0,138,13,0,151,0,481,3181,9,0,0,0,0,45,585,399,2700,b68ca1ffa19a4bbcc27972e36716f835042eca69e723ac349381a57a0f30bd61,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,30,49,6253,34874,21,98,2,0,0,0,30,49
446,SUZEBAR,3,16,63,5,10,0,win,5364,670.500,31695,0,31695,0,28228,-250,0,0,15,9,0,0,517,794,1,0,47,0,48,5141,441,5141,29,0,0,1,1,45,585,399,2700,c4db27e813734b60cd9cc08cc34b3376c7040935ce8ed55fe9380c2bd841edbc,17,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,129,46,44908,16693,48,52,15,9,1,0,129,46
446,SUZEBAR,3,16,63,5,10,1,win,6516,814.500,0,64750,0,64750,5274,11477,0,3,2,3,0,111,834,339,0,174,19,0,193,0,441,6331,25,0,0,1,0,45,585,399,2700,c729d94aa809d706e9f178761d52c13a04c71fda72fef29a16c0c93a08fc90d1,1,24,0,0,0,1,0,0,0,0,0,0,0,0,0,111,0,3,0,1,53,74,16585,64954,36,118,2,3,0,1,53,74
447,DOUGBER,3,16,63,5,10,0,win,6789,848.625,15943,0,15943,0,2868,13843,0,0,9,7,0,0,666,994,4,0,142,0,146,6561,501,6561,45,0,0,1,1,45,585,399,2700,031cdc580199b8508dfcb15e4b2a447709e47082124401c681fac197d7dca91c,20,25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,169,65,61363,35452,86,80,9,7,1,0,169,65
447,DOUGBER,3,16,63,5,10,1,win,5910,738.750,0,89348,0,89348,1909,15572,0,13,1,14,0,92,728,469,0,170,9,0,179,0,361,5651,84,0,0,1,0,45,585,399,2700,92a10803df12a546f5c89791bd3e50f11edcb1c64cebb37054b0db1d9df3b349,0,84,0,0,0,1,0,0,0,0,0,0,0,0,0,92,0,13,0,1,17,33,9339,89698,30,101,1,14,0,1,17,33
